V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
S	  2.68	  3.81	  2.15	  2.13	  1.69	  2.65	  2.69	  2.21	  1.11	  2.68	  2.90	  0.53	 -0.32
W	  2.14	  1.68	  2.53	  2.53	  2.73	  1.87	  1.87	  1.87	  1.03	  0.67	  0.67	  1.48	  1.42
E	 -0.11	 -0.49	 -0.56	 -0.56	 -2.28	  0.30	  0.30	  0.30	  0.42	  0.65	  0.65	  0.50	  1.08
NW	  3.61	  3.55	  2.43	  2.42	  -Inf	  3.47	  3.02	  3.02	  2.08	  2.14	  3.59	  3.32	  2.10
NE	  3.03	  2.50	  1.71	  1.74	  -Inf	  2.88	  2.87	  0.91	  1.42	  1.83	  1.43	  1.82	 -0.33
SE	  3.82	  2.66	  2.28	  2.28	  1.73	  2.99	  4.48	  2.14	  0.53	  2.24	  2.44	  0.53	 -0.77
SW	  2.95	  2.61	  3.23	  3.25	  2.23	  3.13	  2.48	  3.32	  0.95	  2.36	  2.43	  1.05	  0.33
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18
lat	63.375	63.375	63.375	63.375	63.375	63.375	66.750	73.500	59.875	54.375	56.625	56.500	47.625	46.250	46.250	46.250	46.250	33.000
lon	-9.000	-2.750	-2.625	-2.500	-2.375	-2.250	 9.250	27.375	-9.000	 5.000	 9.250	 9.250	33.000	-9.000	-1.500	-1.375	27.250	45.000
N	 3.625	 3.266	 3.243	 3.231	 3.196	 3.173	 1.992	-0.950	 3.625	 2.386	 1.992	 1.992	 1.239	 3.625	 3.034	 3.011	 0.405	 1.297
S	 2.814	 2.363	 2.374	 2.374	 2.386	 2.409	 3.289	 1.621	 2.814	 3.787	 3.289	 3.289	 1.309	 2.814	 2.421	 2.409	 0.649	-0.243
W	 2.222	 2.222	 2.222	 2.222	 2.222	 2.222	 2.406	 2.610	 2.654	 2.386	 2.611	 2.581	 1.134	 0.871	 0.871	 0.871	 1.507	 2.071
E	-1.473	-1.473	-1.473	-1.473	-1.473	-1.473	-1.702	-2.610	-0.508	-0.040	 0.021	 0.021	-0.206	 0.033	 0.033	 0.033	 0.033	 0.801
NW	 3.817	 3.809	 3.811	 3.800	 3.790	 3.790	 2.255	  -Inf	 3.245	 3.876	 3.205	 3.216	 1.964	 2.209	 3.127	 3.118	 2.462	 2.049
NE	 2.889	 2.425	 2.414	 2.382	 2.371	 2.338	 1.735	  -Inf	 2.791	 1.463	 1.411	 1.381	 1.314	 1.570	 1.413	 1.453	 0.795	-0.364
SE	 3.310	 3.680	 3.660	 3.650	 3.650	 3.631	 1.828	 2.087	 3.123	 4.076	 2.585	 2.614	 0.862	 2.103	 2.002	 2.003	 0.818	-0.692
SW	 3.661	 3.261	 3.258	 3.253	 3.243	 3.251	 2.508	 3.341	 3.620	 3.243	 3.099	 3.077	 1.194	 2.459	 2.215	 2.206	 1.011	 0.364
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	63.375	60.000	60.000	70.125	59.875	56.625	56.625	58.875	46.250	46.250	46.250	33.000
lon	-9.000	 6.000	 9.250	27.375	-9.000	 9.000	 9.250	27.375	-9.000	 9.125	16.500	45.000
N	 3.127	 2.339	 1.923	 0.753	 3.127	 2.374	 2.397	 0.753	 3.127	 2.386	 2.027	 1.575
S	 2.571	 3.532	 3.347	 1.888	 2.571	 3.359	 3.347	 0.718	 2.015	 1.621	 1.679	-0.151
W	 2.869	 2.386	 2.386	 2.316	 2.354	 2.716	 2.716	 2.308	 1.022	 1.424	 1.424	 2.279
E	-1.654	-1.506	-1.506	-0.749	-1.546	-1.684	-1.684	-1.680	 0.017	 0.017	 0.017	 0.608
NW	 3.699	 3.240	 2.984	 0.853	 3.663	 3.302	 3.270	 2.216	 1.943	 3.643	 3.573	 2.001
NE	 2.673	 1.696	 2.115	 0.998	 2.802	 2.956	 2.944	 0.678	 1.608	 1.359	 0.781	-0.186
SE	 2.899	 3.539	 3.011	 2.396	 2.655	 3.431	 3.486	 1.023	 1.583	 1.514	 1.269	-0.364
SW	 3.647	 2.712	 2.918	 2.668	 3.714	 3.482	 3.419	 1.948	 1.858	 1.686	 1.502	 0.186
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	62.250	60.000	60.000	70.125	59.875	58.875	58.875	59.875	46.250	45.375	46.250	33.000
lon	-9.000	 8.000	 9.250	27.375	-9.000	 9.125	 9.375	27.375	-9.000	 9.125	16.500	45.000
N	 2.803	 2.814	 2.745	 1.181	 2.803	 2.756	 2.733	 1.181	 2.803	 2.756	 1.552	 1.888
S	 3.057	 3.683	 3.764	 1.957	 3.057	 3.718	 3.810	 0.741	 1.158	 1.923	 1.818	-0.429
W	 2.860	 2.617	 2.617	 2.862	 2.469	 2.733	 2.733	 2.631	 0.854	 2.572	 1.608	 2.168
E	-1.716	-1.598	-1.598	-1.397	-1.615	-1.389	-1.389	-1.615	 0.067	 0.000	 0.067	 1.077
NW	 3.564	 3.387	 3.213	 1.306	 3.748	 3.387	 3.381	 1.728	 1.852	 3.513	 3.649	 2.377
NE	 2.522	 2.718	 3.073	 1.070	 2.683	 3.244	 3.181	 0.924	 2.543	 1.872	 1.090	 0.275
SE	 2.836	 3.769	 3.994	 2.461	 2.429	 3.769	 3.772	 1.155	 1.091	 1.770	 1.704	-0.337
SW	 3.795	 3.881	 3.877	 2.641	 3.847	 3.801	 3.765	 2.187	 1.452	 2.329	 1.753	-0.275
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
lat	 61.125	 60.000	 60.000	 71.250	 71.250	 71.250	 59.875	 59.875	 59.875	 59.875	 59.875	 33.000	 45.375	 45.375	 33.000
lon	 -9.000	  6.000	  9.250	 33.000	 33.125	 33.250	 -9.000	  7.375	  7.500	  9.250	 27.375	-10.000	  9.125	 11.250	 45.000
N	  2.884	  3.370	  3.359	  1.668	  1.668	  1.668	  2.884	  3.428	  3.440	  3.359	  1.355	  2.745	  3.417	  3.069	  1.853
S	  2.710	  4.737	  3.799	  2.212	  2.212	  2.224	  2.710	  4.424	  4.389	  3.799	  0.834	 -0.938	  2.096	  2.061	 -0.151
W	  2.782	  3.799	  3.799	  3.639	  3.639	  3.639	  2.446	  3.807	  3.807	  3.807	  3.807	  0.621	  2.588	  2.588	  1.422
E	 -2.039	 -1.946	 -1.946	 -3.567	 -3.567	 -3.567	 -1.892	 -1.892	 -1.892	 -1.892	 -1.892	  1.077	  0.082	  0.082	  1.077
NW	  3.732	  3.582	  3.499	  1.641	  1.642	  1.663	  3.866	  3.743	  3.774	  3.514	  1.827	  1.040	  3.641	  3.761	  2.563
NE	  2.446	  3.278	  3.595	  1.647	  1.670	  1.670	  2.457	  3.690	  3.708	  3.623	  1.829	  3.652	  2.031	  1.826	 -0.399
SE	  3.167	  3.189	  3.034	  2.374	  2.374	  2.374	  2.690	  3.015	  3.048	  3.054	  1.145	 -0.994	  2.001	  2.105	 -0.595
SW	  3.453	  3.616	  4.183	  2.422	  2.407	  2.390	  3.397	  3.808	  3.838	  4.223	  2.178	 -0.462	  2.487	  2.602	  0.399
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	61.12	61.12	63.25	72.38	59.88	59.88	59.88	57.75	33.00	44.38	46.25	46.25
lon	-9.00	 6.00	 9.25	45.00	-9.00	 6.00	 9.25	27.38	-9.00	 8.50	16.50	27.38
N	 2.80	 4.18	 3.75	 1.66	 2.80	 4.18	 3.75	 1.22	 2.80	 3.96	 2.44	 1.22
S	 2.84	 3.56	 3.94	 2.21	 2.84	 3.56	 3.94	 1.18	-1.16	 3.08	 2.61	 1.18
W	 3.14	 4.03	 3.60	 3.21	 3.07	 3.55	 3.55	 2.60	 0.59	 3.84	 3.33	 3.33
E	-2.11	-2.11	-1.90	-3.14	-1.96	-1.96	-1.96	-1.48	 0.76	 0.39	 0.05	 0.05
NW	 4.00	 4.19	 4.20	 1.59	 4.06	 4.07	 4.65	 2.59	 1.29	 4.04	 3.61	 3.91
NE	 2.22	 4.10	 3.76	 1.55	 2.31	 3.72	 3.46	 1.55	 2.67	 1.71	 1.59	 1.27
SE	 2.16	 3.98	 2.65	-1.59	 2.00	 3.76	 3.78	 1.38	-1.29	 2.19	 2.11	 1.39
SW	 3.09	 4.44	 4.27	 2.35	 3.10	 4.28	 3.95	 2.01	-0.51	 3.44	 2.11	 1.48
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	60.000	62.250	60.000	60.000	59.875	59.875	59.875	58.875	33.000	44.375	45.375	46.250
lon	-9.000	 4.000	 9.250	27.375	-9.000	 6.000	 9.250	27.375	-9.000	 9.125	12.625	27.375
N	 2.200	 4.111	 3.671	 1.668	 2.200	 3.996	 3.671	 1.668	 2.200	 3.683	 3.359	 1.668
S	 2.559	 3.196	 3.625	 1.355	 2.559	 3.451	 3.625	 1.355	-1.065	 2.444	 2.907	 1.100
W	 3.220	 4.900	 3.521	 3.521	 3.184	 3.392	 3.392	 2.957	 0.994	 3.791	 4.237	 3.082
E	-1.737	-1.219	-1.737	-1.737	-1.685	-1.685	-1.685	-1.389	 0.760	 0.259	 0.231	 0.017
NW	 3.462	 5.087	 4.795	 3.106	 3.417	 5.012	 4.867	 3.167	 1.293	 4.943	 3.448	 4.495
NE	 2.300	 3.673	 2.906	 1.845	 2.322	 3.125	 2.916	 1.637	 2.288	 2.400	 2.429	 0.741
SE	 1.999	 3.088	 3.499	 1.747	 1.991	 3.064	 3.476	 1.866	-1.225	 2.088	 2.221	 1.368
SW	 2.758	 3.914	 3.554	 2.503	 2.768	 3.636	 3.575	 2.425	-0.435	 3.226	 2.578	 1.474
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	60.00	61.12	60.00	60.00	59.88	59.88	59.88	59.88	36.38	44.25	44.38	46.25
lon	-9.00	 4.00	 9.25	27.38	-9.00	 4.00	 9.25	27.38	-9.00	 9.12	12.62	28.50
N	 2.02	 4.19	 4.12	 2.13	 2.02	 4.19	 4.12	 2.13	 2.02	 4.12	 4.09	 2.06
S	 2.88	 3.64	 3.90	 2.02	 2.88	 3.64	 3.90	 2.02	 0.25	 1.90	 2.08	 1.34
W	 2.92	 5.40	 4.73	 4.73	 2.91	 4.59	 4.59	 4.59	 1.50	 3.19	 3.14	 2.23
E	-1.74	-1.97	-1.74	-1.74	-1.68	-1.68	-1.68	-1.68	 0.63	 0.47	 0.45	 0.15
NW	 3.65	 5.09	 5.13	 3.88	 3.63	 4.99	 5.12	 3.89	 1.36	 3.94	 3.47	 4.71
NE	 2.61	 3.68	 3.39	 1.89	 2.65	 3.85	 3.36	 1.86	 2.59	 2.50	 3.12	 0.46
SE	 2.72	 3.66	 3.91	 2.23	 2.71	 3.68	 3.93	 2.26	 1.46	 1.36	 1.74	 1.44
SW	 3.42	 4.70	 3.32	 2.28	 3.45	 4.14	 3.33	 2.28	 1.00	 2.76	 2.28	 1.58
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
lat	60.000	61.125	61.125	62.875	62.750	62.625	62.500	62.375	62.250	58.875	59.875	59.875	59.875	33.000	44.250	44.375	33.000
lon	-9.000	 4.000	 9.250	27.375	27.375	27.375	27.375	27.375	27.375	-9.000	 4.000	 9.250	27.375	-9.000	 9.125	12.625	45.000
N	 1.888	 4.378	 4.528	 2.872	 2.872	 2.872	 2.872	 2.872	 2.872	 1.888	 4.378	 4.528	 2.872	 1.888	 4.517	 4.494	 1.957
S	 2.282	 3.613	 3.764	 1.807	 1.807	 1.807	 1.807	 1.807	 1.807	 2.282	 3.613	 3.764	 1.807	-0.324	 1.807	 1.714	-0.440
W	 2.895	 5.492	 5.492	 5.538	 5.539	 5.566	 5.568	 5.570	 5.572	 2.733	 4.984	 4.984	 4.984	 0.787	 2.652	 2.592	 1.740
E	-1.992	-1.535	-1.535	-1.245	-1.214	-1.209	-1.179	-1.174	-1.144	-1.860	-2.031	-2.031	-2.031	 0.525	 0.420	 0.421	 0.525
NW	 3.056	 5.012	 5.291	 3.954	 4.109	 4.109	 4.120	 4.120	 4.120	 2.994	 4.873	 5.173	 4.186	 1.090	 3.230	 3.626	 4.911
NE	 2.754	 4.087	 4.136	 2.022	 2.018	 2.007	 1.997	 1.996	 1.985	 2.985	 4.256	 3.991	 1.852	 2.988	 2.498	 3.635	-0.053
SE	 2.988	 3.749	 4.211	 1.898	 1.930	 1.897	 1.908	 1.939	 1.950	 2.623	 3.511	 4.188	 2.226	-0.444	 1.365	 1.496	-0.666
SW	 2.668	 4.700	 3.495	 2.704	 2.637	 2.579	 2.562	 2.562	 2.562	 2.760	 4.467	 3.246	 2.298	-0.089	 2.562	 2.284	 0.053
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	60.00	63.25	62.25	63.25	65.50	59.88	59.88	59.88	59.88	33.00	45.50	45.50	33.00
lon	-9.00	 9.00	 8.00	 9.25	27.38	-9.00	 6.00	 9.25	27.38	-9.00	 9.12	 9.88	45.00
N	 1.73	 4.96	 4.95	 4.97	 3.65	 1.73	 4.64	 4.97	 3.65	 1.73	 4.96	 5.00	 1.63
S	 1.98	 3.51	 3.50	 3.45	 1.71	 1.98	 3.64	 3.45	 1.71	-0.87	 2.48	 2.41	-0.63
W	 3.80	 5.30	 5.17	 5.30	 5.22	 3.74	 4.78	 4.78	 4.78	 0.61	 2.43	 2.43	 1.33
E	-1.74	-1.83	-1.52	-1.83	-1.06	-1.75	-1.75	-1.75	-1.75	 0.75	 0.41	 0.41	 0.75
NW	 2.81	 5.20	 5.29	 5.21	 4.30	 2.78	 4.96	 5.14	 4.86	 1.15	 2.77	 2.89	 5.36
NE	 2.96	 4.99	 4.99	 5.08	 3.14	 2.98	 5.10	 4.91	 2.40	 3.65	 2.99	 2.88	 0.35
SE	 1.82	 3.93	 3.93	 3.88	 1.71	 1.82	 3.84	 3.87	 1.96	-1.04	 1.70	 1.86	-0.57
SW	 2.54	 4.37	 4.37	 4.39	 2.29	 2.54	 4.41	 3.63	 2.19	-0.28	 2.50	 2.57	-0.35
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16
lat	60.500	60.375	60.250	60.125	60.000	63.375	63.375	66.750	59.875	59.875	59.875	59.875	36.500	45.375	45.375	33.000
lon	-9.000	-9.000	-9.000	-9.000	-9.000	 9.000	 9.250	27.375	-9.000	 8.000	 9.250	27.375	-9.000	 9.125	 9.875	45.000
N	 1.575	 1.575	 1.575	 1.575	 1.575	 5.478	 5.513	 3.903	 1.575	 5.443	 5.513	 3.903	 1.575	 5.490	 5.582	 2.073
S	 1.262	 1.262	 1.262	 1.262	 1.262	 3.382	 3.335	 1.390	 1.262	 3.428	 3.335	 1.216	 0.359	 2.444	 2.328	-0.614
W	 3.975	 3.959	 3.944	 3.929	 3.915	 5.737	 5.737	 5.398	 3.877	 4.754	 4.754	 4.754	 1.945	 2.984	 2.984	 1.643
E	-1.270	-1.265	-1.260	-1.232	-1.204	-1.447	-1.447	-0.205	-1.177	-1.177	-1.177	-1.177	 0.591	 0.808	 0.808	 0.829
NW	 2.631	 2.684	 2.706	 2.759	 2.704	 5.507	 5.497	 4.541	 2.670	 5.345	 5.356	 5.482	 1.889	 3.466	 2.851	 5.857
NE	 3.178	 3.201	 3.245	 3.278	 3.322	 5.628	 5.625	 3.510	 3.356	 5.581	 5.426	 2.501	 4.555	 3.071	 2.994	 0.275
SE	 2.047	 1.998	 1.988	 1.978	 1.959	 3.682	 3.651	 1.638	 1.959	 3.814	 3.810	 1.791	-0.027	 2.407	 2.191	-0.630
SW	 2.011	 2.011	 2.015	 2.061	 2.061	 3.895	 3.946	 2.730	 2.069	 3.875	 3.860	 2.397	 1.281	 2.786	 2.876	-0.275
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	62.25	63.38	63.38	67.88	59.88	59.88	59.88	59.88	35.38	45.38	45.38	33.00
lon	-9.00	 9.00	 9.25	27.38	-9.00	 8.00	 9.25	27.38	-9.00	 9.12	 9.88	45.00
N	 1.89	 5.69	 5.70	 4.17	 1.89	 5.56	 5.70	 4.17	 1.89	 5.69	 5.74	 2.66
S	 1.18	 3.62	 3.59	 1.22	 1.18	 3.72	 3.59	 1.17	 0.34	 2.14	 1.88	-0.74
W	 4.65	 5.74	 5.74	 5.17	 3.72	 4.96	 4.96	 4.96	 1.34	 2.97	 2.97	 1.41
E	-0.90	-1.50	-1.50	-0.40	-0.39	-0.39	-0.39	-0.39	 0.78	 0.96	 0.96	 0.73
NW	 2.43	 5.56	 5.56	 4.31	 2.71	 5.15	 5.24	 5.35	 1.46	 2.75	 2.85	 5.78
NE	 3.08	 5.71	 5.69	 4.39	 3.77	 5.67	 5.53	 3.49	 4.58	 4.02	 3.90	 0.11
SE	 2.41	 2.80	 2.81	 1.75	 2.03	 3.50	 3.15	 1.61	 1.08	 2.28	 2.14	-0.98
SW	 2.22	 3.69	 3.65	 2.46	 2.38	 3.60	 3.55	 2.12	 0.91	 2.54	 2.62	-0.11
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	62.250	63.375	63.375	67.875	59.875	59.875	59.875	59.875	35.250	45.375	45.375	33.000
lon	-9.000	 9.000	 9.250	27.375	-9.000	 8.000	 9.250	27.375	-9.000	 9.125	 9.875	45.000
N	 2.038	 5.316	 5.316	 3.984	 2.038	 5.362	 5.316	 3.984	 2.038	 5.316	 5.327	 2.444
S	 1.228	 4.019	 4.030	 1.575	 1.228	 3.903	 4.030	 0.892	 0.139	 2.015	 1.865	-0.359
W	 4.353	 5.530	 5.530	 4.859	 3.577	 4.707	 4.707	 4.707	 1.205	 2.819	 2.819	 1.215
E	-0.622	-1.111	-1.111	-0.400	 0.046	 0.046	 0.046	 0.046	 0.411	 1.187	 1.187	 0.801
NW	 2.470	 5.835	 5.890	 4.064	 2.691	 5.355	 5.697	 4.848	 1.253	 2.432	 2.463	 5.442
NE	 3.503	 5.095	 5.095	 4.151	 4.076	 5.007	 4.909	 3.435	 4.200	 3.883	 3.784	-0.240
SE	 1.928	 3.041	 3.012	 1.853	 1.697	 3.851	 3.651	 1.455	 1.235	 2.379	 2.218	-0.746
SW	 2.304	 3.576	 3.563	 2.647	 2.516	 3.449	 3.458	 1.777	 0.717	 2.287	 2.434	 0.240
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	64.38	60.00	60.00	67.88	59.88	58.88	58.88	58.88	36.38	45.38	45.38	33.00
lon	-9.00	 8.00	 9.25	40.00	-9.00	 9.12	 9.38	27.38	-9.00	 9.12	11.25	45.00
N	 2.27	 4.61	 4.66	 3.14	 2.27	 4.66	 4.66	 3.02	 2.27	 4.66	 4.69	 2.78
S	 1.37	 3.30	 3.59	 1.91	 1.37	 3.57	 3.62	 1.27	 0.20	 2.91	 3.00	-0.32
W	 4.50	 4.45	 4.45	 4.77	 3.25	 4.28	 4.28	 4.28	 1.71	 4.02	 4.02	 1.22
E	-0.46	 0.60	 0.60	-0.43	 0.67	 1.10	 1.10	 1.10	 0.37	 1.63	 1.63	 0.93
NW	 2.27	 4.76	 4.87	 2.97	 2.52	 4.76	 4.78	 4.46	 1.63	 4.33	 2.70	 4.65
NE	 3.15	 4.52	 4.37	 2.92	 3.88	 4.30	 4.26	 2.87	 3.42	 3.07	 3.01	-0.19
SE	 2.55	 3.83	 3.64	 1.88	 1.66	 3.83	 3.83	 1.50	-0.27	 2.26	 1.95	-0.64
SW	 2.24	 3.82	 3.86	 2.00	 2.68	 3.58	 3.59	 2.46	 1.08	 3.26	 2.55	 0.19
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	64.50	60.00	60.00	60.00	59.88	59.88	58.88	59.88	36.50	44.38	45.38	34.25
lon	-9.00	 8.00	 9.25	27.38	-9.00	 8.00	 9.38	27.38	-9.00	 9.12	12.62	43.75
N	 2.20	 4.01	 4.05	 2.65	 2.20	 4.01	 4.05	 2.65	 2.20	 4.05	 4.13	 2.96
S	 1.17	 2.80	 2.98	 1.74	 1.16	 2.80	 3.00	 1.74	 0.23	 1.89	 2.41	 0.32
W	 4.38	 4.05	 4.05	 4.05	 3.69	 4.02	 3.70	 4.02	 1.86	 3.40	 4.11	 1.53
E	-0.67	 1.07	 1.07	 1.07	 1.18	 1.18	 1.99	 1.18	 0.56	 1.59	 1.86	 1.19
NW	 2.06	 3.93	 4.02	 3.89	 2.29	 3.92	 3.96	 3.96	 1.67	 4.63	 3.78	 4.05
NE	 2.80	 4.12	 3.95	 2.58	 3.28	 4.11	 3.83	 2.58	 3.08	 2.70	 3.13	 2.26
SE	 2.14	 3.36	 3.37	 1.57	 1.20	 3.38	 3.32	 1.59	 0.15	 1.74	 1.48	 0.46
SW	 2.30	 3.64	 3.59	 2.44	 2.67	 3.63	 3.22	 2.39	 1.15	 2.48	 2.52	 0.91
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 64.500	 60.000	 60.000	 61.125	 53.250	 58.875	 58.875	 59.875	 36.500	 44.375	 46.250	 33.000
lon	 -9.000	  8.000	  9.250	 27.375	-27.000	  9.125	  9.375	 27.375	 -9.000	  9.125	 19.500	 45.000
N	  1.841	  3.880	  3.984	  2.768	  2.235	  3.984	  3.996	  2.768	  2.108	  3.984	  3.972	  3.370
S	  1.633	  3.150	  3.057	  1.691	  1.216	  3.081	  3.046	  1.691	  0.429	  1.343	  1.598	 -0.058
W	  4.008	  4.123	  4.123	  4.149	 -2.981	  4.145	  4.145	  4.107	  1.455	  3.305	  2.596	  1.174
E	 -0.726	  1.251	  1.251	  0.528	  2.981	  2.151	  2.151	  1.338	  0.519	  2.009	  2.345	  0.829
NW	  2.198	  3.501	  3.571	  3.920	   -Inf	  3.501	  3.523	  4.045	  1.535	  4.070	  3.381	  3.893
NE	  2.204	  4.191	  4.026	  2.413	  1.695	  4.004	  3.948	  2.357	  3.232	  2.473	  2.344	 -0.240
SE	  1.667	  2.729	  2.698	  2.085	  1.991	  2.729	  2.698	  2.114	  0.917	  1.275	  1.377	 -0.284
SW	  2.219	  3.753	  3.775	  2.633	   -Inf	  3.440	  3.423	  2.278	  1.091	  2.170	  1.414	  0.240
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 63.375	 60.000	 60.000	 62.250	 53.250	 58.875	 58.875	 59.875	 46.250	 43.250	 46.250	 34.250
lon	 -9.000	  8.000	  9.250	 27.375	-27.000	  7.500	  9.250	 27.375	-27.000	  9.125	 27.000	 43.750
N	  1.830	  3.382	  3.486	  2.559	  2.571	  3.347	  3.486	  2.559	  2.571	  3.474	  2.606	  3.544
S	  1.262	  3.254	  3.162	  1.691	  1.390	  3.278	  3.162	  1.691	  1.320	  1.563	  0.834	  0.579
W	  3.928	  3.474	  3.474	  3.880	 -2.691	  3.338	  3.338	  3.438	 -1.859	  2.274	  2.177	  1.513
E	 -0.724	  1.645	  1.645	  0.075	  3.058	  2.532	  2.532	  1.731	  1.926	  1.320	  1.926	  0.743
NW	  2.335	  3.174	  3.232	  3.560	   -Inf	  3.075	  3.176	  3.546	   -Inf	  3.351	  3.330	  3.442
NE	  1.949	  3.838	  3.695	  2.444	  2.662	  3.761	  3.640	  2.400	  1.827	  2.600	  1.628	  3.315
SE	  1.462	  2.840	  2.686	  2.099	  2.420	  2.860	  2.820	  2.242	  2.114	  1.006	  1.193	  0.455
SW	  2.177	  3.824	  3.876	  2.449	   -Inf	  3.895	  3.479	  2.192	   -Inf	  2.098	  1.272	  1.074
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 62.25	 60.00	 60.00	 62.25	 54.50	 58.88	 58.88	 53.25	 46.25	 44.25	 46.25	 35.38
lon	 -9.00	  8.00	  9.25	 27.38	-27.00	  7.50	  9.25	 27.38	-27.00	  9.12	 27.25	 42.50
N	  1.27	  2.93	  3.03	  2.32	  3.57	  2.88	  3.03	  2.32	  3.57	  3.23	  2.33	  2.47
S	  1.52	  3.32	  3.36	  1.05	  1.54	  3.32	  3.36	  1.05	  1.48	  1.09	  1.07	  0.67
W	  3.51	  2.80	  2.80	  3.51	 -1.74	  2.78	  2.78	  1.70	 -1.57	  2.81	  2.04	  1.22
E	  0.22	  1.44	  1.44	  0.22	  2.83	  2.26	  2.26	  3.00	  1.78	  1.37	  1.78	  1.34
NW	  2.22	  2.81	  2.79	  3.16	  -Inf	  2.79	  2.81	  3.18	  -Inf	  4.09	  2.88	  3.01
NE	  1.73	  3.36	  3.27	  1.95	  3.30	  3.31	  3.26	  2.58	  1.53	  2.31	  2.09	  4.11
SE	  1.13	  2.84	  2.38	  1.69	  2.72	  2.89	  2.80	  1.98	  2.09	  0.56	  1.27	  0.60
SW	  2.13	  3.88	  3.93	  2.52	  -Inf	  3.95	  3.68	  2.54	  -Inf	  2.50	  1.38	  1.14
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.000	 60.000	 60.000	 60.000	 56.625	 58.875	 58.875	 55.500	 46.250	 33.000	 39.750	 34.250
lon	-27.000	  8.000	  9.250	 27.375	-27.000	  9.125	  9.375	 27.375	-27.000	  5.000	 23.750	 43.750
N	  2.884	  2.502	  2.617	  1.691	  3.776	  2.606	  2.629	  1.807	  3.776	  2.513	  2.235	  4.146
S	  1.911	  3.057	  3.104	  3.335	  1.911	  3.104	  3.104	  3.335	  1.170	 -0.185	  0.544	  0.452
W	 -1.367	  2.571	  2.571	  2.571	 -1.516	  2.532	  2.532	  1.799	 -1.022	  1.478	  1.612	  1.611
E	  1.367	  1.367	  1.367	  1.367	  2.484	  2.061	  2.061	  2.249	  1.742	  0.801	  1.597	  0.827
NW	   -Inf	  3.058	  2.824	  2.924	   -Inf	  3.058	  3.041	  2.967	   -Inf	  1.822	  2.622	  3.197
NE	  3.142	  3.044	  2.942	  1.191	  3.969	  2.967	  2.923	  2.566	  1.878	  2.959	  1.522	  3.746
SE	  2.496	  2.759	  2.661	  1.667	  2.577	  2.759	  2.721	  2.921	  1.810	 -0.275	  0.520	  0.437
SW	   -Inf	  3.368	  3.390	  2.701	   -Inf	  3.307	  3.327	  2.895	   -Inf	 -0.053	  1.197	  0.808
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 60.00	 60.00	 60.00	 60.00	 60.00	 56.62	 58.88	 57.75	 57.75	 46.25	 33.00	 39.88	 34.12
lon	-27.00	  6.00	  9.88	 10.00	 27.38	-27.00	  9.12	 26.25	 27.38	-27.00	  5.00	 23.75	 43.75
N	  3.69	  2.25	  2.55	  2.56	  2.64	  3.95	  2.46	  2.93	  2.69	  3.95	  2.36	  2.51	  4.42
S	  1.80	  2.65	  2.93	  2.93	  3.40	  1.80	  2.94	  3.52	  3.40	  1.22	 -0.58	  0.65	  0.43
W	 -0.65	  2.94	  2.94	  2.94	  2.94	 -0.80	  2.87	  3.00	  3.00	 -0.75	  1.34	  1.52	  1.47
E	  1.85	  1.85	  1.85	  1.85	  1.85	  3.07	  2.85	  3.21	  3.21	  1.67	  1.02	  1.60	  1.16
NW	  -Inf	  2.87	  2.45	  2.42	  3.13	  -Inf	  2.89	  3.03	  3.17	  -Inf	  2.27	  2.68	  3.25
NE	  3.59	  3.38	  3.45	  3.44	  3.02	  3.84	  3.37	  3.05	  3.09	  2.98	  3.03	  1.84	  4.00
