V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
SW	  3.091	  3.218	  3.185	  2.210	  2.030	  1.838	  1.926	  1.905	 -0.506	  0.204	  0.836	 -0.080
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 71.125	 71.125	 71.250	 73.500	 58.875	 59.875	 59.875	 59.875	 33.000	 33.000	 36.500	 33.000
lon	 -9.000	  6.000	  9.250	 27.375	-13.125	 -8.875	 10.000	 34.000	 -9.000	 -8.750	 27.250	 45.000
N	  2.305	  0.591	  0.382	 -0.069	  2.096	  2.293	  0.336	  0.371	  2.305	  2.270	  1.934	  2.119
S	  2.224	  3.278	  3.382	  2.525	  2.177	  2.212	  1.065	  2.339	 -0.602	 -0.521	  0.533	 -0.440
W	  4.439	  4.439	  4.468	  4.119	  1.300	  1.223	  1.223	  1.223	  0.856	  0.856	  1.268	  1.063
E	 -1.146	 -1.146	 -1.189	 -0.652	  0.224	 -0.254	 -0.254	 -0.254	  1.795	  1.795	  0.735	  1.795
NW	  3.106	  0.902	  0.379	   -Inf	  2.145	  1.969	  2.461	 -0.592	  1.399	  1.446	  3.232	  1.938
NE	  1.275	  0.475	  0.629	   -Inf	  1.994	  2.097	 -0.167	  0.980	  1.360	  1.323	  1.076	 -0.204
SE	  2.533	  3.869	  3.987	  2.380	  3.201	  3.038	  1.440	  2.012	 -0.799	 -0.728	  0.243	 -0.852
SW	  3.153	  2.658	  2.665	  2.602	  2.259	  1.856	  0.904	  1.874	 -0.160	 -0.098	  0.961	  0.204
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 70.125	 73.500	 73.500	 72.375	 72.375	 58.875	 59.875	 59.875	 59.875	 33.000	 34.250	 37.500	 33.000
lon	 -9.000	  9.125	 10.000	 30.000	 30.125	-15.000	 -8.875	 10.000	 42.000	 -9.000	 -6.250	 27.250	 45.000
N	  1.552	 -0.093	 -0.162	  0.440	  0.440	  2.177	  2.224	 -0.162	  0.533	  2.247	  1.749	  1.343	  4.169
S	  2.235	  2.837	  2.895	  2.641	  2.629	  2.675	  2.224	  1.772	  1.448	 -0.521	  2.837	  0.591	 -0.776
W	  3.645	  3.548	  3.548	  3.557	  3.557	  1.143	  0.946	  0.946	  0.946	  0.760	  0.911	  1.328	  1.326
E	 -0.818	 -0.938	 -0.938	 -0.803	 -0.803	  0.986	 -0.162	 -0.162	 -0.162	  2.320	  1.093	  1.489	  2.320
NW	  2.382	   -Inf	   -Inf	  0.643	  0.632	  2.321	  2.454	  1.748	  0.577	  1.093	  1.437	  2.293	  2.746
